,Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets,Male,Serious Criminal Case,Crorepati,Graduate or Above
0,Meghwal Nagshi Khamubhai,ABDASA,0,5th Pass,955000.0, 0,BSP,"Rs 9,55,000 ~ 9 Lacs+",1,0,0,0
1,Mamubhai Mandabhai Rabari,ABDASA,0,8th Pass,1192000.0, 600000,IND,"Rs 11,92,000 ~ 11 Lacs+",1,0,0,0
2,K. D. Jadeja,ABDASA,0,Graduate,1430000.0, 0,Praja Vijay Paksh,"Rs 14,30,000 ~ 14 Lacs+",1,0,0,1
3,Uthar Razak Alimamad,ABDASA,1,Graduate,1561000.0, 300000,IND,"Rs 15,61,000 ~ 15 Lacs+",1,0,0,1
4,Bhanushali Suresh Manji Mange,ABDASA,0,8th Pass,2319200.0, 0,IND,"Rs 23,19,200 ~ 23 Lacs+",1,0,0,0
5,Vasantbhai Valji Khetani,ABDASA,1,8th Pass,3167778.0, 0,AAP,"Rs 31,67,778 ~ 31 Lacs+",1,0,0,0
6,Jat Mamad Jung,ABDASA,0,Literate,3397899.0, 300000,INC,"Rs 33,97,899 ~ 33 Lacs+",1,0,0,0
7,Joshi Jagdishchandra Kakulal,ABDASA,0,10th Pass,12592758.0, 0,SP,"Rs 1,25,92,758 ~ 1 Crore+",1,0,1,0
8,Jadeja Pradhyumansinh Mahipatsinh,ABDASA,0,Literate,13023913.0, 1580000,BJP,"Rs 1,30,23,913 ~ 1 Crore+",1,0,1,0
9,Hakumatsinh Juvansinh Jadeja,ABDASA,0,Graduate,28638807.0, 2019422,IND,"Rs 2,86,38,807 ~ 2 Crore+",1,0,1,1
10,Ravi Dhanani,AMRELI,0,Graduate,1028500.0, 200000,AAP,"Rs 10,28,500 ~ 10 Lacs+",1,0,0,1
11,Vinubhai Chavada,AMRELI,0,5th Pass,2052000.0, 100000,IND,"Rs 20,52,000 ~ 20 Lacs+",1,0,0,0
12,Gohil Mukeshbhai Khimajibhai,AMRELI,0,12th Pass,7131888.0, 0,Vyavastha Parivartan Party,"Rs 71,31,888 ~ 71 Lacs+",1,0,0,0
13,Dhanani Pareshkumar Dhirajlal,AMRELI,0,Graduate,19453081.0, 100000,INC,"Rs 1,94,53,081 ~ 1 Crore+",1,0,1,1
14,Kaushik Kantibhai Vekariya,AMRELI,0,Graduate,35690630.0, 0,BJP,"Rs 3,56,90,630 ~ 3 Crore+",1,0,1,1
15,Ramesh Jakharabhai Kodecha,ANJAR,0,5th Pass,70387.0, 0,IND,"Rs 70,387 ~ 70 Thou+",1,0,0,0
16,Chavda Sudha Bakul,ANJAR,0,Graduate Professional,485000.0, 0,BSP,"Rs 4,85,000 ~ 4 Lacs+",1,0,0,1
17,Roshanali Ibrahim Sandhani,ANJAR,0,5th Pass,845850.0, 70000,SDPI,"Rs 8,45,850 ~ 8 Lacs+",1,0,0,0
18,Arjanbhai Chanabhai Rabari,ANJAR,0,Literate,3696500.0, 1185000,AAP,"Rs 36,96,500 ~ 36 Lacs+",1,0,0,0
19,Kakal Ganibhai Adambhai,ANJAR,2,8th Pass,5600000.0, 2243357,Gujarat Sarva Samaj Party,"Rs 56,00,000 ~ 56 Lacs+",1,1,0,0
20,Chhanga Trikam Bijal,ANJAR,0,Graduate Professional,9931399.0, 499406,BJP,"Rs 99,31,399 ~ 99 Lacs+",1,0,0,1
21,Dangar Rameshbhai Shamjibhai,ANJAR,1,5th Pass,28503885.0, 8603096,INC,"Rs 2,85,03,885 ~ 2 Crore+",1,1,1,0
22,Jitendrasingh Rajawat,ANKLESHWAR,0,10th Pass,5742378.0, 1200000,Praja Vijay Paksh,"Rs 57,42,378 ~ 57 Lacs+",1,0,0,0
23,Ankurkumar Laxmanbhai Patel,ANKLESHWAR,0,Others,17414200.0, 2000000,AAP,"Rs 1,74,14,200 ~ 1 Crore+",1,0,1,0
24,Vijaysinh Thakorbhai Patel (Vallabhdas),ANKLESHWAR,2,Graduate,26357525.0, 514286,INC,"Rs 2,63,57,525 ~ 2 Crore+",1,1,1,1
25,Ishwarsinh Thakorbhai Patel,ANKLESHWAR,0,Graduate,47887600.0, 7420975,BJP,"Rs 4,78,87,600 ~ 4 Crore+",1,0,1,1
26,Rathod Dineshkumar Lallubhai,BARDOLI (SC),0,8th Pass,719877.0, 0,IND,"Rs 7,19,877 ~ 7 Lacs+",1,0,0,0
27,Sushilaben Rameshbhai Wagh,BARDOLI (SC),0,Graduate Professional,15075000.0, 566000,BSP,"Rs 1,50,75,000 ~ 1 Crore+",0,0,1,1
28,Rajendraprasad Solanki Alias Raju Morthana,BARDOLI (SC),0,Others,17369741.0, 1174098,AAP,"Rs 1,73,69,741 ~ 1 Crore+",1,0,1,0
