Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,PC_Name,PC_No,CandID,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc
AE,Gujarat,11,1,2007,12,0,3,1,JAYANTILAL PARSOTTAM BHANUSHALI,M,BJP,39004,GEN,87912,137105,ABDASA,GEN,,6,64.12,44.37,no,10019,11.4,3.03,AEGJ11473,,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,43,,,,,5th Pass,Other or Unspecified,,,
AE,Gujarat,11,1,2007,12,0,3,2,JADEJA NARENDRASINH MADHAVSINHJI,M,INC,28985,GEN,87912,137105,ABDASA,GEN,,6,64.12,32.97,no,16588,18.87,3.03,AEGJ9349,,3482,TRUE,3,BJP,1605,ABDASA,TRUE,FALSE,1,TRUE,TRUE,TRUE,53,,,,,10th Pass,Other or Unspecified,,,
AE,Gujarat,11,1,2007,12,0,3,3,HALEPOTRA IBRAHIM JAFAR,M,BSP,12397,GEN,87912,137105,ABDASA,GEN,,6,64.12,14.1,yes,8251,9.39,3.03,AEGJ11475,,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,39,,,,,10th Pass,Other or Unspecified,,,
AE,Gujarat,11,1,2007,12,0,3,4,BHAVANI HANSRAJBHAI PARBATBHAI,M,IND,4146,GEN,87912,137105,ABDASA,GEN,,6,64.12,4.72,yes,2176,2.48,3.03,AEGJ11476,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,39,,,,,,,,,
AE,Gujarat,11,1,2007,12,0,3,5,KULINKANT BHOJRAJ SHAH (LODAYA),M,IND,1970,GEN,87912,137105,ABDASA,GEN,,6,64.12,2.24,yes,560,0.64,3.03,AEGJ11477,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,70,,,,,,,,,
AE,Gujarat,11,1,2007,12,0,3,6,GADHAVI KESHARDAN GENDAN,M,RSDC,1410,GEN,87912,137105,ABDASA,GEN,,6,64.12,1.6,yes,0,0,3.03,AEGJ11478,,6860,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,39,,,,,,,,,
AE,Gujarat,11,2,2007,12,0,3,1,SENGHANI DHANJIBHAI (ALIAS MANGAL) GOVINDBHAI,M,BJP,41799,GEN,89004,145045,MANDVI,GEN,,9,61.36,46.96,no,4139,4.65,2.5,AEGJ11479,,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,57,,,,,5th Pass,Other or Unspecified,,,
AE,Gujarat,11,2,2007,12,0,3,2,PATEL CHHABILBHAI NARAYANBHAI,M,INC,37660,GEN,89004,145045,MANDVI,GEN,,9,61.36,42.31,no,34638,38.92,2.5,AEGJ12745,,3482,TRUE,2,INC,3482,MANDVI,TRUE,TRUE,1,FALSE,TRUE,TRUE,46,,,,,Graduate,Other or Unspecified,,,
AE,Gujarat,11,2,2007,12,0,3,3,GARVA RAYSHIBHAI KARSHANBHAI,M,BSP,3022,GEN,89004,145045,MANDVI,GEN,,9,61.36,3.4,yes,640,0.72,2.5,AEGJ11481,,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,48,,,,,Graduate,Other or Unspecified,,,
AE,Gujarat,11,2,2007,12,0,3,4,SAIYAD KADARSHA LATIFSHAH,M,IND,2382,GEN,89004,145045,MANDVI,GEN,,9,61.36,2.68,yes,893,1,2.5,AEGJ11482,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,36,,,,,,,,,
AE,Gujarat,11,2,2007,12,0,3,5,MAKANI RUKSHMANIBEN KALYANJI,F,IND,1489,GEN,89004,145045,MANDVI,GEN,,9,61.36,1.67,yes,402,0.45,2.5,AEGJ11483,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,46,,,,,,,,,
AE,Gujarat,11,2,2007,12,0,3,6,GHEDA CHAMPSHI AATUBHAI,M,IND,1087,GEN,89004,145045,MANDVI,GEN,,9,61.36,1.22,yes,184,0.21,2.5,AEGJ11484,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,25,,,,,,,,,
AE,Gujarat,11,2,2007,12,0,3,7,GADHVI PARESHDAN HAJURDAN,M,SHS,903,GEN,89004,145045,MANDVI,GEN,,9,61.36,1.01,yes,511,0.57,2.5,AEGJ11485,,18691,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,38,,,,,,,,,
AE,Gujarat,11,2,2007,12,0,3,8,GADHVI RAMBHAI DHANRAJBHAI,M,IND,392,GEN,89004,145045,MANDVI,GEN,,9,61.36,0.44,yes,122,0.14,2.5,AEGJ11486,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,39,,,,,,,,,
AE,Gujarat,11,2,2007,12,0,3,9,GADHVI RAJESH MANEKBHAI,M,IND,270,GEN,89004,145045,MANDVI,GEN,,9,61.36,0.3,yes,0,0,2.5,AEGJ11487,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,26,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,1,AHIR VASANBHAI GOPALBHAI,M,BJP,70398,GEN,133232,214898,BHUJ,GEN,,9,62,52.84,no,21582,16.2,2.44,AEGJ6853,,1605,TRUE,3,BJP,1605,ANJAR,FALSE,TRUE,3,FALSE,FALSE,FALSE,49,,,,,5th Pass,Other or Unspecified,,,
AE,Gujarat,11,3,2007,12,0,3,2,AHIR SHIVJIBHAI KARSHANBHAI,M,INC,48816,GEN,133232,214898,BHUJ,GEN,,9,62,36.64,no,42567,31.95,2.44,AEGJ10480,,3482,TRUE,2,INC,3482,BHUJ,TRUE,TRUE,1,FALSE,TRUE,TRUE,49,,,,,12th Pass,Other or Unspecified,,,
AE,Gujarat,11,3,2007,12,0,3,3,SAMEJA MOHMAD HANIF,M,IND,6249,GEN,133232,214898,BHUJ,GEN,,9,62,4.69,yes,3404,2.55,2.44,AEGJ11490,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,25,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,4,MUTVA MIRKHAN PIRMAMAD,M,BSP,2845,GEN,133232,214898,BHUJ,GEN,,9,62,2.14,yes,603,0.45,2.44,AEGJ4918,,16651,TRUE,2,IND,10809,ABDASA,FALSE,FALSE,0,FALSE,FALSE,FALSE,57,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,5,SHAH PARESHKUMAR VRUJLAL,M,IND,2242,GEN,133232,214898,BHUJ,GEN,,9,62,1.68,yes,1401,1.05,2.44,AEGJ11492,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,38,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,6,CHAVDA HAMIR KHIMA,M,IND,841,GEN,133232,214898,BHUJ,GEN,,9,62,0.63,yes,176,0.13,2.44,AEGJ11493,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,25,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,7,AHLAVAT BIJENDRASING DAYARAM,M,LJP,665,GEN,133232,214898,BHUJ,GEN,,9,62,0.5,yes,8,0.01,2.44,AEGJ11494,,5029,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,43,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,8,MANGALBHAI KARAMASIBHAI RABARI,M,IND,657,GEN,133232,214898,BHUJ,GEN,,9,62,0.49,yes,138,0.1,2.44,AEGJ570,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,47,,,,,,,,,
AE,Gujarat,11,3,2007,12,0,3,9,BAROT VELJI SHANKARDAN,M,IND,519,GEN,133232,214898,BHUJ,GEN,,9,62,0.39,yes,0,0,2.44,AEGJ11496,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,76,,,,,,,,,
AE,Gujarat,11,4,2007,12,0,3,1,MAHESHWARI RAMESH VACHCHHRAJ,M,BJP,49448,SC,92657,153804,MUNDRA,SC,,5,60.24,53.37,no,15265,16.47,2.38,AEGJ12780,,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,39,,,,,12th Pass,Other or Unspecified,,,
