Candidate
Ahir Hemantbhai Hardasbhai
Ahir Jivanbhai K. Kumbharvadiya
Ahir Mulubhai Ranmalbhai Kandoriya
Ahir Vikrambhai Arjanbhai Maadam
Akbari Divyeshbhai Ranchhodbhai
Akram Vahidulla Ansari
Ambarishkumar Jivabhai Der
Amrutiya Kantilal Shivlal
Anantkumar Hasmukhbhai Patel
Aniruddha Bhailal Dave
Ankurkumar Laxmanbhai Patel
Arjan Bhudiya
Arjunbhai Devabhai Modhwadia
Arunsinh Ajitsinh Rana
Arvind Chhotubhai Patel
Arvind Shantilal Rana
Arvindbhai Kalubhai Solanki
Arvindbhai Keshavbhai Ladani
Ashok Patel (Adhevada)
Ashokbhai Chhotubhai Chaudhary
Ayar Mulubhai Hardasbhai Bera
Babubhai Bhimabhai Bokhiriya
Balwant Shantilal Jain
Bathwar Sureshkumar Karshanbhai
Bhachubhai Dharamshi Aarethiya
Bhagabhai Dhanabhai Barad
Bhanuben Manoharbhai Babariya
Bharatbhai Kikubhai Patel
Bharatbhai Veljibhai Solanki
Bharti Prakashbhai Patel
Bhimabhai Danabhai Makvana
Bholabhai Bhikhabhai Gohel
Bipendrasinh Chatursinh Jadeja
Chauhan Shamajibhai Bhimajibhai
Chavada Divyeshbhai Manubhai
Chavda Meghjibhai Amarabhai
Chimanbhai Sapariya
Chudasama Vimalbhai Kanabhai
Dangar Rameshbhai Shamjibhai
Darshankumar Amrutlal Nayak
Dedaniya Lalitkumar Laljibhai
Desai Rakesh Gunvantbhai
Desai Yatish Govindlal
Devabhai Punjabhai Malam
Dhameliya Dineshbhai Chhaganbhai
Dhanani Pareshkumar Dhirajlal
Dhansukhbhai Bhagvatiprasad Rajput
Dheliben Maldebhai Odedara
Dineshkumar Mohanbhai Joshi
Dipak Barot
Dodiya Mansingbhai Jesingbhai
Dr. Darshita Shah
Dr. Darshna Chandubhai Deshmukh(Vasava)
Dr. Dineshbhai Chhaganbhai Dhameliya
Dr. Mahendrabhai Padalia
Durlabhjibhai Harakhjibhai Dethariya
Fatesingbhai Chimanbhai Vasava
