Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Meghwal Nagshi Khamubhai,ABDASA,0,5th Pass,955000, 0,BSP,"Rs 9,55,000 ~ 9 Lacs+"
Mamubhai Mandabhai Rabari,ABDASA,0,8th Pass,1192000, 600000,IND,"Rs 11,92,000 ~ 11 Lacs+"
K. D. Jadeja,ABDASA,0,Graduate,1430000, 0,Praja Vijay Paksh,"Rs 14,30,000 ~ 14 Lacs+"
Uthar Razak Alimamad,ABDASA,1,Graduate,1561000, 300000,IND,"Rs 15,61,000 ~ 15 Lacs+"
Bhanushali Suresh Manji Mange,ABDASA,0,8th Pass,2319200, 0,IND,"Rs 23,19,200 ~ 23 Lacs+"
Vasantbhai Valji Khetani,ABDASA,1,8th Pass,3167778, 0,AAP,"Rs 31,67,778 ~ 31 Lacs+"
Jat Mamad Jung,ABDASA,0,Literate,3397899, 300000,INC,"Rs 33,97,899 ~ 33 Lacs+"
Joshi Jagdishchandra Kakulal,ABDASA,0,10th Pass,12592758, 0,SP,"Rs 1,25,92,758 ~ 1 Crore+"
Jadeja Pradhyumansinh Mahipatsinh,ABDASA,0,Literate,13023913, 1580000,BJP,"Rs 1,30,23,913 ~ 1 Crore+"
Hakumatsinh Juvansinh Jadeja,ABDASA,0,Graduate,28638807, 2019422,IND,"Rs 2,86,38,807 ~ 2 Crore+"
Ravi Dhanani,AMRELI,0,Graduate,1028500, 200000,AAP,"Rs 10,28,500 ~ 10 Lacs+"
Vinubhai Chavada,AMRELI,0,5th Pass,2052000, 100000,IND,"Rs 20,52,000 ~ 20 Lacs+"
Gohil Mukeshbhai Khimajibhai,AMRELI,0,12th Pass,7131888, 0,Vyavastha Parivartan Party,"Rs 71,31,888 ~ 71 Lacs+"
Dhanani Pareshkumar Dhirajlal,AMRELI,0,Graduate,19453081, 100000,INC,"Rs 1,94,53,081 ~ 1 Crore+"
Kaushik Kantibhai Vekariya,AMRELI,0,Graduate,35690630, 0,BJP,"Rs 3,56,90,630 ~ 3 Crore+"
Ramesh Jakharabhai Kodecha,ANJAR,0,5th Pass,70387, 0,IND,"Rs 70,387 ~ 70 Thou+"
