Candidate
Aarjubi Rauf Shah
Aestarben Kesharbhai Pawar
Alpabala Dilipkumar Sabva
Anishaben Kureshi
Ashaben Vinodbhai Mangale
Bhanuben Manoharbhai Babariya
Bharti Prakashbhai Patel
Bhumika Pareshbhai Patel
Champaben Narshibhai Rathod
Chauhan Champaben Zaverbhai
Dheliben Maldebhai Odedara
Dr. Darshita Shah
Dr. Darshna Chandubhai Deshmukh(Vasava)
Faimida Yunus Shaikh
Farzan Allarakha Meman
Garasiya Hemangini Dipakkumar
Geetaba Jayrajsinh Jadeja
Geetaben Najabhai Maru
Gitaben Bharatkumar Parmar
Hanshaben Vijaykumar Makadiya
Hinaben Depabhai Makwana
Hinaben Pravinbhai Raiyani
Jayaben Mehulbhai Boricha
Jayshreeben Patel
Jermaben Suklal Vasava
Kalpanaben Bijalbhai Dhoriya
Kalpanaben Percy Munshi
Khushwah Sumanben Raveebhai
Laluben Chauhan
Madhu Nirupaben Natavarlal
Mahajan Pratibhaben Pankajbhai
Maheshwari Vanita Dahyalal
Makuben Kishorbhai Rathod (Meenaben)
Malti Kishor Maheshwari
Mamtaben Jayantilal Botvadiya
Manjuben Karabhai Pingal
Mansuri Aaisha
Muktaben Narendrabhai Parmar
Nasrinbano Shaikh
Nimishaben Khunt
Pannaben Anilbhai Patel
Parekh Punitaben Hasmukhbhai
Parmar Faridaben Muradbhai
Parmar Rajuben Ravindrabhai
Payal Bhavin Patel
Prafulaben R. Shiyaliya
Puspaben Kamleshbhai Parmar
Ramaben Prakashbhai Gorasva
Rani Aziz Shaikh
Rekhaben Satishbhai Patel
Rivasinh Hardevsinh Solanki (Rivaba Ravindrasinh Jadeja)
Sabirabibi Mohammad Yusuf Shaikh
Saiyad Suraiya Latif
Sangitaben Maheshbhai Ahire
Sangitaben Rajendra Patil
Satasiya Kantibhai Shambhubhai
Sayarabanu Hamid Rana
Saynaben Rustambhai Gamit
Sejalben Khunt
Sejalben Rajivkumar Pandya
Shehanazbibi Khalidbhai Shekh
Shwetaben Budhabhai Vaghela
Solanki Savitaben Rameshbhai
Sondarva Jignasha Maheshbhai
Sushilaben Rameshbhai Wagh
Urmilaben Mukeshbhai Bhagat
Vijyaben Girishbhai Parmar
Vimal Raju Uttpure
Yasminben Dilavrbhai Malek
