Candidate
Advocate Jagdish Manshibhai Gadhavi
Advocate Mahamadiqbal Manjaliya
Ahir Jivanbhai K. Kumbharvadiya
Ahir Mulubhai Ranmalbhai Kandoriya
Ahir Vikrambhai Arjanbhai Maadam
Ajadia Prakash Naranbhai
Alpabala Dilipkumar Sabva
Alpesh Kathiriya
Alpeshkumar Chandulal Trambadiya
Alpeshkumar V. Vadoliya
Amardas Desani
Ambarishkumar Jivabhai Der
Amish Narayanbhai Chunawala
Anand P Rathod
Anantkumar Hasmukhbhai Patel
Anilbhai Sumanbhai Chaudhari
Aniruddha Bhailal Dave
Arjunbhai Devabhai Modhwadia
Arun Mehta
Arunbhai Dhanjibhai Sakariya
Arvind Chhotubhai Patel
Asharafmiya Sidikmiya Kadri
Ashokbhai Chhotubhai Chaudhary
Babubhai Bhimabhai Bokhiriya
Baldev Mavjibhai Solanki
Bathwar Sureshkumar Karshanbhai
Bhagabhai Dhanabhai Barad
Bhanuben Manoharbhai Babariya
Bharatbhai Kikubhai Patel
Bharti Prakashbhai Patel
Bhavanbhai Devjibhai Vora
Bhumika Pareshbhai Patel
Bhupendra Bhavanbhai Patoliya
Bipendrasinh Chatursinh Jadeja
Bipinchandra Khushalbhai Chaudhari
Budhabhai Thavar Maheshwari
Chaitarbhai Damjibhai Vasava
Chauhan Bharatbhai Mohanbhai
Chauhan Champaben Zaverbhai
Chavada Divyeshbhai Manubhai
Chavada Hiteshbhai
Chavda Mahendrakumar Maganbhai
Chavda Meghjibhai Amarabhai
Chavda Sudha Bakul
Chhanga Trikam Bijal
Chimanbhai Sapariya
Chudasama Vimalbhai Kanabhai
Darshankumar Amrutlal Nayak
Desai Yatish Govindlal
Devkishordasji Bhaktisvarupdasji Swami
Dhameliya Dineshbhai Chhaganbhai
Dhanani Pareshkumar Dhirajlal
Dholariya Viral Govindbhai
Dodiya Mansingbhai Jesingbhai
Dr. Darshita Shah
Dr. Darshna Chandubhai Deshmukh(Vasava)
Dr. Dineshbhai Chhaganbhai Dhameliya
Dr. Jignesh Solanki
Dr. Kanubhai V. Kalsaria
Dr. Mahendrabhai Padalia
Dr. Prafulbhai Devjibhai Vasava
Dr.Jayrambhai Chemabhai Gamit
Gamit Sunilbhai Chandubhai
Ganpatsinh Vestabhai Vasava
Garasiya Hemangini Dipakkumar
Ghediya Amit Jagdishbhai
Gohel Mukesh Vajubhai
Gopalbhai Gabhabhai Joliya
Gopalbhai Gordhanbhai Italia
Hakumatsinh Juvansinh Jadeja
Hamir Rathod (Master)
Hanshaben Vijaykumar Makadiya
Haresh Manubhai Sardhara
Hareshbhai Jayantibhai Vasava
Harshadbhai Chunilal Vasava
Hirabhai Arjanbhai Jotva
Ishwarlal Kanjibhai Soneri
Ishwarsinh Thakorbhai Patel
Isudan Gadhvi
Jagdishbhai Prabhubhai Makwana
Jahid Aavadbhai Jami
Jayendrabhai Laxmanbhai Ganvit
Jeeteshbhai Rupabhai Santola
Jermaben Suklal Vasava
Jigneshkumar Malakiya
Jilubhai Bhammar
Jimikumar Rajenbhai Patel
Jitendrabhai Savajibhai Vaghani
K. D. Jadeja
Kagathara Lalitbhai
Kailasdan K. Gadhvi
Kakadiya Jaysukhbhai Vallabhbhai (Kakadiya J.V.)
Kalaria Chiragbhai Rameshbhai
Kalariya Mansukhbhai Jadavbhai
Kalpanaben Bijalbhai Dhoriya
Kalpesh Patel
Kamleshbhai S. Madhiwala
Kantariya Kishorbhai Paljibhai
Kanubhai Baraiya
Kanubhai Mohanlal Desai
Karashanbhai Naranbhai Vadadoriya
Karpada Rajubhai Merambhai
Karshan Parbat Bhadarka (Bapu)
Kaswala Mahesh
Kaushik Kantibhai Vekariya
Kheni Jinabhai Parshottambhai (Dr.Z.P. Kheni)
Kirtikumar Kanubhai Borisagar
Kishanbhai V. Patel
Kokani Mohanbhai Dhedabhai
Kunjankumar Rameshchandra Patel
Kunvarjibhai Mohanbhai Bavaliya
Kunvarjibhai Narsinhbhai Halpati
Ladumor Maheshbhai Kababhai (Ahir)
Madhu Nirupaben Natavarlal
Mahant Shambhunath Tundiya
Mahendrabhai Ravanbhai Patil
Mahesh Vinayakray Acharya
Maheshwari Vanita Dahyalal
Mahmadjavid Abdulmutlib Pirzada
Makwana Govindbhai Lalabhai
Makwana Rutvikbhai Lavjibhai
Makwana Ukabhai Amarabhai
Makwana Ukabhai Amrabhai
Makwana Umeshbhai Naranbhai
Malti Kishor Maheshwari
Mamtaben Jayantilal Botvadiya
Manilal Bhogilal Pandya
Manishbhai Prakashbhai Vasava
Mansinghbhai Meramanbhai Parmar
Mansukh Vajeram Makvana
Maurya Mitvardhan Naranbhai
Mithapara Mukeshkumar Babubhai
Motivarash Devendrabhai Dhanjibhai
Mrudangrajsinh Mulrajsinh Chudasama
Muchhadiya Devdanbhai Kanabhai
Mukesh Dholumal Vardhani
Natvarbhai Dahyabhai Mahyavanshi
Nilesh Khorashi
Nimishaben Khunt
Odedara Lakhanshi Deva
P V S Sarma
Parmar Balvantray Lagharbhai
Parmar Rameshbhai Parbhubhai
Patel Jayantilal Jerajbhai
Patel Navinkumar Shankarbhai
Patel Raghavjibhai Hansrajbhai
Piyush Parmar
Piyushkumar Kantilal Patel
Pradipkumar
Pradyuman Ganubhai Vaja
Praful Pansheriya
Prakash Dhirubhai Donga
Prakashbhai Vinodbhai Contractor
Pravin Narashibhai Musadiya
Purnesh Modi
Rahul Bhuva
Ram Dhaduk
Rathod Bhavinkumar Shantilal
Ravi Dhanani
Sahdev Vasava (Advocate)
Saiyad Naushad Rahimmiya Kadri
Sajidkhan Husenmahammadkhan Rehan
Sangitaben Rajendra Patil
Sanjaybhai Jesangbhai Solanki
Sejalben Khunt
Sejalben Rajivkumar Pandya
Shah Uday Navinbhai
Solanki Arvindbhai Nathabhai
Solanki Devendrabhai Kanjibhai
Solanki Ramjibhai Khimabhai
Sonrat Lakhubhai Jethsurbhai
Sulemanbhai Mohmadbhai Patel
Sunilbhai Nagajibhai Gamit
Sunilbhai Ratanjibhai Gamit
Sushilaben Rameshbhai Wagh
Urmilaben Mukeshbhai Bhagat
Uthar Razak Alimamad
Vaichandbhai Lallubhai Patel
Vasantbhai Barjulbhai Patel
Vasava Bhagatsinh Jesingbhai
Vasava Vinodkumar
