Candidate
Abdulbhai Ismailbhai Majgul
Abjal Mamadbhai Bhaya
Ahir Jivanbhai K. Kumbharvadiya
Akram Vahidulla Ansari
Alpesh Kathiriya
Amardas Desani
Anand Krashnakant Buch
Anantkumar Hasmukhbhai Patel
Arun Pathak (Gabbar)
Arunbhai Mansukhlal Parmar
Arvindbhai Singabhai Gamit
Aslam Firozbhai Cyclewala
Bapubhai Nanabhai Khalane
Bhachubhai Dharamshi Aarethiya
Bhupendrabhai Gandubhai Bhayani
Chaitarbhai Damjibhai Vasava
Chauhan Juned Abdul Rajak
Chauhan Sunilbhai
Chavada Divyeshbhai Manubhai
Chudasama Ramajibhai Babubhai
Dangar Rameshbhai Shamjibhai
Dengada Pravinbhai Meghjibhai
Devrajbhai Mashrubhai Makvana
Dhadhal Amirajsinh Jagubhai
Dharamshibhai Ramjibhai Dhapa
Dharmikbhai Nanubhai Malaviya
Dr. Kanubhai V. Kalsaria
Dr. Prafulbhai Devjibhai Vasava
Fatesingbhai Chimanbhai Vasava
Gopalbhai Gordhanbhai Italia
Goshwami Sanjaygiri Rameshgiri
Gunjariya Chhatrasinh Shankarbhai
Haku Vala
Hamid Shaikh
Hamir Rathod (Master)
Hirabhai Arjanbhai Jotva
Hirabhai Odhavjibhai Solanki
Hitendrakumar Bhagvanajibhai Patel
Hiteshkumar Devjibhai Vasava
Ismail Ahmad Patel
Isudan Gadhvi
Jagdishkumar Motilal Chavda
Jagmalbhai Jadavbhai Vala
Janakbhai Talaviya
Jawaharbhai Pethaljibhai Chavda
Jayendrasinh Laxmansinh Raj
Jayesh Hansrajbhai Thakor (Tamboliya)
Jayesh Hansrajbhai Thakor(Tamboliya)
Jitendra Kantilal Somani
Jitubhai Harjibhai Chaudhari
Joshi Bhikhabhai Galabhai
Kakal Ganibhai Adambhai
Kalubhai Rathod
Kamleshbhai Ghelabhai Patel
Kandhalbhai Sarmanbhai Jadeja
Karanbhai Baraiya
Karpada Rajubhai Merambhai
Ketanbhai Kishorbhai Patel
Khushwah Sumanben Raveebhai
Kirtikumar Bavanjibhai Marvaniya
Kishor Khimabhai Chavada
Kishorsinh Kumbhajibhai Gohil
Laljibhai Karabhai Baliya
Mahendra Navadiya
Mahendrabhai Ravanbhai Patil
Makvana Maheshbhai Jethabhai
Manharbhai Kanjibhai Rathod
Manoj Sorathiya
Mohamad Faiz Mohamad Faruq Mulla
Mubarak Ismail Dashu
Nanjibhai Harasurbhai Baraiya (Nanjibhai Baraiya)
Nausrka Mahammad Shaukatali
Nilesh Khorashi
Nilesh Kumbhani
P V S Sarma
Parekh Punitaben Hasmukhbhai
Parshottambhai O. Solanki
Piyush Parmar
Pradipkumar
Prakashbhai Vinodbhai Contractor
Pravinbhai Manjibhai Ghoghari
Pravinbhai Meghajibhai Dengada
Rahul Bhuva
Rajeshbhai Mangubhai Patel
Rameshbhai Narandas Mistry
Rathod Bhavinkumar Shantilal
Sajidkhan Husenmahammadkhan Rehan
Sakil Mahamad Sama
Sameja Abdulkarim Amad
Shabbirbhai Alarakhbhai Malek (Pintubhai Malek)
Shahabudin Jainudin Malbari
Shaikh Iqbal Hamid
Sureshbhai Ballubhai Patel
Talati Mustak Ismail
Uday Kangad
Vasantbhai Barjulbhai Patel
Vijaysinh Thakorbhai Patel (Vallabhdas)
Virjibhai Thummar
Wasim Kareem Shaikh
